Ticker,CIK Code
OLCLY,1545460
CMG,1058090
LULU,1397187
BN,1001085
PSX,1534701
TGT,27419
AJG,354190
EL,1001250
MMM,66740
BNS,9631
SNOW,1640147
FCX,831259
USB,36104
TEAM,1650372
ANZGY,1947559
HES,4447
DELL,1571996
PH,76334
GLD,1222333
APO,1858681
CTA-PA,30554
APH,820313
NXPI,1413447
MSI,68505
BBVA,842180
AFL,4977
DNZOY,1446598
TDG,1260221
VLO,1035002
F,37996
ECL,31462
PRNDY,899108
TAK,1395064
RSG,1060391
FTNT,1262039
ING,1039765
MET,1099219
PNC,713676
NSC,702165
NGG,1004315
PCAR,75362
SRE,1032208
WELL,766704
ADSK,769397
STZ,16918
CRWD,1535527
AZO,866787
SU,311337
ET,1276187
PSA,1393311
TT,1466258
MRVL,1835632
CPRT,900075
AIG,5272
MFG,1335730
WDS,844551
PAYX,723531
EW,1099800
ODFL,878927
WMB,107263
MCHP,827054
SGEN,1060736
KDP,1418135
LNG,3570
BAESY,895564
PCG,1004980
BSBR,1471055
CARR,1783180
KMB,55785
JD,1549802
SPG,1063761
GM,1467858
BIDU,1329099
ROST,745732
ABEV,1565025
KHC,1637459
HSY,47111
OKE,1039684
EXC,1109357
CRH,849395
HLT,1585689
AEP,4904
MSCI,1408198
KVUE,1944048
HLN,1900304
NU,1691493
COR,1140859
CCI,1051470
CNC,1071739
KMI,1506307
CVE,1475260
ADM,7084
TTD,1671933
GIS,40704
CEG,1868275
TFC,92230
DLR,1297996
TEL,1385157
ON,1097864
NUE,73309
LVS,1300514
HAL,45012
BIIB,875045
IAU,1278680
MPLX,1552000
STM,932787
TRV,86312
CRARY,1279967
ALC,1167379
PLTR,1321655
IDXX,874716
HCMLY,948696
BKR,1701605
O,726728
LI,1791706
DOW,1751788
WCN,1318220
DHI,882184
CTVA,1755672
EA,712515
GWW,277135
BCE,718940
COF,927628
IMO,49938
IQV,1478242
PPERY,1461748
TRP,1232384
D,715957
DD,1666700
IBKR,1381197
YUM,1041061
DXCM,1093557
JCI,833444
VRSK,1442145
SPOT,1639920
SYY,96021
LHX,202058
CTSH,1058290
MRAAY,1450468
FAST,815556
PRU,1137774
XEL,72903
AME,1037868
BK,1390777
CM,1045520
ALL,899051
CPNG,1834584
AMP,820027
ARES,1176948
MFC,1086888
OTIS,1781335
LYG,1160106
VEEV,1393052
KR,56873
OEZVY,1021020
FERG,1832433
A,1090872
CMI,26172
ACGL,947484
WTKWY,861967
ORAN,1038143
NEM,1164727
ROK,1024478
DVN,1090012
ED,1047862
MRNA,1682852
PEG,788784
QSR,1618756
BBD,1160330
DASH,1792789
GFS,1709048
CSGP,1057352
LYB,1489393
FIS,1136893
LEN,920760
GEHC,1932393
FANG,1539838
GOLD,756894
PPG,79879
GPN,1123360
MBLY,1910139
ARGX,1697862
DDOG,1561550
VICI,1705696
PUK,1116578
TLGPY,1947542
NTR,1725964
CHT,1132924
BDORY,1433913
URI,1067701
SQ,1512673
BF-B,14693
VMC,1396009
WST,105770
CCEP,1650107
EXPGY,1376891
PKX,889132
DIA,1041130
SLF,1097362
CQP,1383650
CDW,1402057
FNV,1456346
CODYY,1012037
IT,749251
WEC,783325
MLM,916076
HPQ,47217
SE,1703399
APTV,1521332
GWLIF,850918
DG,29534
VOD,839923
MDB,1441816
SPLK,1353283
EC,1444406
FTV,1659166
BCS,312069
WBD,1437107
EIX,827052
AEM,2809
ELP,1041792
PWR,1050915
NDAQ,1120193
ZS,1713683
IR,1699150
MDY,936958
CAJPY,16988
TTWO,946581
WIT,1123799
AVB,915912
ANSS,1013462
DLTR,935703
TU,868675
FANUY,1446596
EXR,1289490
GIB,1061574
PCRFY,63271
TLK,1001807
BNTX,1776985
AWK,1410636
NWG,844150
CAH,721371
GLW,24741
SYM,1837240
CHD,313927
TCOM,1269238
YUMC,1673358
TEF,814052
CJPRY,1334687
ZBH,1136869
EBAY,1065088
KEYS,1601046
WTW,1140536
MTD,1037646
TSCO,916365
XYL,1524472
EQR,906107
CTRA,858470
TROW,1113169
HUBS,1404655
HIG,874766
STE,1757898
VRSN,1014473
FICO,814547
SBAC,1034054
RCL,884887
IX,1070304
WY,106535
RMD,943819
CBRE,1138118
ATEYY,1158838
DAL,27904
FRFHF,915191
DB,1159508
EFX,33185
RYAAY,1038683
ALNY,1178670
SAUHY,1451279
FE,1031296
DFS,1393612
ALGN,1097149
DSCSY,1671750
BR,1383312
DTE,936340
RBLX,1315098
AEE,1002910
STT,93751
MPWR,1280452
RCI,733099
NET,1477333
BEKE,1809587
RJF,720005
WPM,1323404
HPE,1645590
BRO,79282
ETR,65984
TW,1758730
GRMN,1121788
ZTO,1677250
MKL,1096343
ICLR,1060955
COIN,1679788
MOH,1179929
TS,1190723
GMAB,1434265
FTS,1666175
YAHOY,1446437
TRGP,1389170
HEI,46619
INVH,1687229
UMC,1033767
FCNCA,798941
ES,72741
TECK,886986
ZM,1585521
ULTA,1403568
BGNE,1651308
MT,1243429
WBA,1618921
DOV,29905
ILMN,1110803
MTB,36270
AIU,1722380
TDY,1094285
GPC,40987
PINS,1506293
HWM,4281
LYV,1335258
WAB,943452
FLT,1175454
PPL,922224
VLTO,1967680
NOK,924613
JBHT,728535
OWL,1823945
NVR,906163
EQT,33213
LH,920148
IRM,1020569
CNP,1130310
K,55067
PHG,313216
CBOE,1374310
WRB,11544
EG,1095073
MRO,101778
VTR,740260
DRI,940944
SIRI,908937
PBA,1546066
HRL,48465
STLD,1022671
CCJ,1009001
IFF,51253
MKC,63754
ARE,1035443
FSLR,1274494
EXPD,746515
RPRX,1802768
WMG,1319161
J,52988
LPLA,1397911
RIVN,1874178
ASX,1122411
HOLX,859737
BAX,10456
PTC,857005
ALB,915913
FDS,1013237
NTDTY,1446705
DIDIY,1764757
ROL,84839
PFG,1126328
ATO,731802
TSN,100493
COO,711404
JBL,898293
SNAP,1564408
CHKP,1015922
AXON,1069183
KB,1445930
AKAM,1086222
PHM,822416
FITB,35527
BAH,1443646
TYL,860731
CMS,811156
BMRN,1048477
CF,1324404
EBR,1439124
CINF,20286
KOF,910631
NTAP,1002047
MAA,912595
SGSOY,1069347
ERIE,922621
BEP,1533232
BG,1144519
HUBB,48898
UWMC,1783398
PAYC,1590955
VIV,1066119
CLX,21076
ERIC,717826
CCL,815097
TXT,217346
VRT,1674101
SQM,909037
WAT,1000697
BBY,764478
BSY,1031308
CNHI,1567094
WLK,1262823
OMC,29989
IEX,832101
SWKS,4127
RKT,1805284
RS,861884
MGA,749098
BALL,9389
RTO,930157
YPF,904851
NIO,1736541
LUV,92380
L,60086
FOXA,1754301
ESS,920522
STX,1137789
TPL,1811074
TER,97210
AVY,8818
SMPNY,1669414
HBAN,49196
BLDR,1316835
DT,1773383
EXPE,1324424
WSO,105016
WDC,106040
SMCI,1375365
AMH,1562401
DGX,1022079
AVTR,1722482
SUI,912593
ENTG,1101302
SUZ,909327
DKNG,1883685
PKG,75677
JRONY,1438077
SGIOY,1281721
SHG,1263043
RF,1281761
SNA,91440
OVV,1792580
XPEV,1810997
APP,1751008
HLDCY,811250
HDELY,1400691
CRBG,1889539
CELH,1341766
NTRS,73124
PTCAY,1547873
LBRDA,1611983
MGDDY,896076
ENPH,1463101
KKPNY,1001474
DECK,910521
EPAM,1352010
CAG,23217
MGM,789570
LW,1679273
GRAB,1855612
AER,1378789
LKQ,1065696
CE,1306830
TAP,24545
IOT,1642896
POOL,945841
RVTY,31791
APA,1841666
ELS,895417
CUK,1125259
ACI,1646972
LDOS,1336920
LNT,352541
GLPEY,1385535
GFI,1172724
AMCR,1748790
BOUYY,1445475
NWSA,1564708
TME,1744676
SSNC,1402436
DPZ,1286681
LOGI,1032975
INCY,879169
LII,1069202
UDR,74208
LEGN,1801198
NDSN,72331
SWK,93556
BAM,1937926
CSL,790051
GLPI,1575965
PTBRY,1504122
VST,1692819
RYAN,1849253
TRMB,864749
GGG,42888
IHG,858446
TKHVY,1446444
OKTA,1660134
CPB,16732
RPM,110621
EXAS,1124140
HTHT,1483994
MANH,1056696
ZI,1794515
NMR,1163653
AGR,1634997
AZPN,1897982
UAL,100517
CHK,895126
RBA,1046102
SYF,1601712
SJM,91419
IP,51434
WPC,1025378
XP,1787425
MOS,1285785
HST,1070750
BEN,38777
EVRG,1711269
VFS,1913510
SMKUY,1555812
RDY,1135951
RNR,913144
JHX,1159152
OC,1370946
MAS,62996
GDDY,1609711
VTRS,1792044
CFG,759944
VDMCY,1468608
PAA,1070423
GFL,1780232
GEN,849399
BILL,1786352
IPG,51644
SLVYY,930826
CNA,21175
CDAY,1725057
LNNGY,1447629
REG,910606
FLEX,866374
H,1468174
NBIX,914475
SRPT,873303
UTHR,1082554
ARCC,1287750
ACM,868857
PSTG,1474432
GL,320335
ZBRA,877212
BIP,1406234
WYNN,1174922
PCTY,1591698
WES,1423902
U,1810806
EDU,1372920
NI,1111711
JKHY,779152
KIM,879101
CG,1527166
FNF,1331875
NICE,1003935
MTCH,891103
FMS,1333141
AOS,91142
TECH,842023
SAIA,1177702
BAP,1001290
WSM,719955
LSCC,855658
DINO,1915657
BCH,1161125
CPT,906345
KNSL,1669162
CASY,726958
KMX,1170010
CCK,1219601
FIVE,1177609
PNR,77360
PODD,1145197
LCID,1811210
CHRW,1043277
TWLO,1447669
AES,874761
SNN,845982
RGA,898174
LECO,59527
UHAL,4457
PAG,1019849
NRG,1013871
TRU,1552033
MORN,1289419
DOX,1062579
LKNCY,1767582
REXR,1571283
UNM,5513
STVN,1849853
TOST,1650164
BJ,1531152
EQH,1333986
CRL,1100682
PEAK,765880
USFD,1665918
DBX,1467623
TFII,1588823
VIVHY,1127055
TEVA,818686
AFG,1042046
USO,1327068
KEY,91576
PCOR,1611052
WPP,806968
ZG,1617640
EME,105634
DKS,1089063
EMRAF,1127248
AEG,769218
PATH,1734722
FTI,1681459
OTEX,1002638
CZR,1590895
BWA,908255
WRK,1732845
MNSO,1815846
TFX,96943
NTNX,1618732
MKTX,1278021
PR,1658566
BIO,12208
WTRG,78128
HSIC,1000228
FFIV,1048695
BRKR,1109354
CFLT,1699838
UHS,352915
QRVO,1604778
ROKU,1428439
CX,1076378
PFGC,1618673
RDEIY,1438654
JBSAY,1450123
TPG,1880661
HII,1501585
FND,1507079
OHI,888491
ALLE,1579241
COTY,1024305
WMS,1604028
QGEN,1015820
ACCYY,1049183
SSL,314590
HOOD,1783879
LAMR,1090425
AR,1433270
CLH,822818
TTC,737758
PNW,764622
BXP,1037540
AGCO,880266
EMN,915389
FUTU,1754581
MTLHY,1446418
CHDN,20212
RRC,315852
ESLT,1027664
SBS,1170858
JAZZ,1232524
ONON,1858985
XPO,1166003
SNX,1177394
MEDP,1668397
DOCU,1261333
BPYPP,1545772
MTN,812011
SKM,1015650
SCI,89089
BSAC,1027552
KNX,1492691
ATR,896622
LSXMA,1560385
JNPR,1043604
OMRNY,800954
VIPS,1529192
ALV,1034670
WEX,1309108
ETSY,1370637
DSEEY,1481045
PEN,1321732
ESTC,1707753
TTEK,831641
NOV,1021860
CLF,764065
RRX,82811
NVT,1720635
KBR,1357615
SWN,7332
AU,1973832
SWAV,1642545
PSO,938323
RGEN,730272
AIZ,1267238
BURL,1579298
NLY,1043219
KEP,887225
ITT,216228
CUBE,1298675
DLB,1308547
RHI,315213
OUKPY,1436786
AGL,1831097
LEA,842162
ORI,74260
CHE,19584
CTLT,1596783
CW,26324
HAS,46080
WSC,1647088
GLOB,1557860
RL,1037038
GGB,1073404
MUSA,1573516
MTDR,1520006
TOL,794170
SKX,1065837
YMM,1838413
EWBC,1069157
FBIN,1519751
CHWY,1766502
HESM,1789832
NYCB,910073
PARA,813828
DVA,927066
TIMB,1826168
TX,1342874
WWD,108312
KVYO,1835830
CMS-PB,201533
CACI,16058
OLED,1005284
AAL,6201
CIVI,1509589
X,1163302
GWRE,1528396
BIRK,1977102
SEIC,350894
BLD,1633931
SLV,1330568
MAT,63276
MUR,717423
RGLD,85535
FRT,34903
CCCS,1818201
CART,1579091
LNW,750004
PRI,1475922
EGP,49600
COLD,1455863
DCI,29644
LBTYA,1570585
BZ,1842827
HNGKY,871464
IEP,813762
GTLB,1653482
GNTX,355811
VOYA,1535929
FMC,37785
UI,1511737
VFC,103379
SOFI,1818874
CHRD,1486159
CYBR,1598110
UELMO,100826
ACHC,1520697
WHR,106640
GMED,1237831
LAD,1023128
BWXT,1486957
ALLY,40729
ROIV,1635088
XRAY,818479
ROHCY,1442653
ARMK,1584509
STN,1131383
ASXFY,1449003
NYT,71691
TPX,1206264
MEJHY,1558812
JEF,96223
HLI,1302215
CNM,1856525
YNDX,1513845
OGE,1021635
BDNNY,1446457
PAM,1469395
CAE,1173382
CHX,1723089
ITTOY,1512544
WFRD,1603923
GRFS,1438569
CAR,723612
IONS,874015
TKO,1973266
KGC,701818
MNDY,1845338
WF,1264136
DUOL,1562088
NE,1895262
NFE,1749723
BERY,1378992
BBWI,701985
RBC,1324948
TAL,1499620
APPF,1433195
WCC,929008
DAR,916540
NNN,751364
GTLS,892553
WBS,801337
ICL,941221
TPR,1116132
TXRH,1289460
CIB,1071371
KRTX,1771917
AGLY,1673504
EXEL,939767
FSV,1637810
SIGI,230557
EHC,785161
ARW,7536
WH,1722684
HRB,12659
GPK,1408075
RLI,84246
ASR,1123452
FCN,887936
CGNX,851205
HQY,1428336
MIDD,769520
DSGX,1050140
CIEN,936395
NEWR,1448056
G,1398659
GXO,1852244
TREX,1069878
EGFEY,1437178
SF,720672
BYD,906553
IGT,1619762
PHYS,1477049
INGR,1046257
ELF,1600033
SITE,1650729
COKE,317540
RMBS,917273
KT,892450
LSTR,853816
CSAN,1430162
BRX,1581068
JLL,1037976
STAG,1479094
APG,1796209
FN,1408710
CPRI,1530721
AIT,109563
PSN,275880
NCLH,1513761
MSTR,1050446
PAC,1347557
OPCH,1014739
UFPI,912767
FHN,36966
PBF,1534504
BLCO,1860742
IVZ,914208
MSA,66570
OSK,775158
AM,1623925
INFA,1868778
BRBR,1772016
STWD,1465128
AFRM,1820953
QLYS,1107843
SMBMY,1448978
OLN,74303
GLBE,1835963
ONTO,704532
CHH,1046311
SPSC,1092699
THC,70318
APLS,1492422
CIG,1157557
ENLC,1592000
PUTKY,1455955
AN,350698
TNET,937098
WTS,795403
FR,921825
ADT,1703056
AXTA,1616862
SAIC,1571123
BILI,1723690
CRCBY,1553915
CVNA,1690820
SN,1957132
LEVI,94845
PTEN,889900
SMAR,1366561
PPC,802481
JSCPY,1449005
PAAS,771992
LFUS,889331
ALGM,866291
FIX,1035983
HR,1360604
EXP,918646
CROX,1334036
CBSH,22356
RIG,1451505
WFG,1402388
MSM,1003078
DLO,1846832
ENSG,1125376
EDR,1766363
TGS,931427
SSD,920371
FRSH,1544522
ADOOY,1489079
GNRC,1474735
CFR,39263
CUYTY,1437153
NXT,1852131
AMKR,1047127
WING,1636222
ST,1477294
DUFRY,1546354
FSK,1422183
MTSI,1493594
REYN,1786431
WK,1445305
CR,1944013
ABCM,1492074
DOOO,1748797
ADC,917251
OBDC,1655888
DTM,1842022
CACC,885550
FAF,1472787
BKGFY,1447137
ALSN,1411207
RHP,1040829
AGI,1178819
BMA,1347426
CMA,28412
PII,931015
HXL,717605
VAL,314808
IMVT,1764013
AYI,1144215
CNXC,1803599
NSIT,932696
GIL,1061894
DDS,28917
W,1616707
MHK,851968
DRS,1833756
LU,1816007
ESNT,1448893
TENB,1660280
EVR,1360901
ALSMY,1062066
POST,1530950
SM,893538
WIX,1576789
WU,1365135
SIM,887153
ALTR,1701732
ASND,1612042
NXST,1142417
TKR,98362
RELY,1782170
TEO,932470
RCM,1910851
SON,91767
ACLS,1113232
SSB,764038
FLR,1124198
NTRA,1604821
PLNT,1637207
VMI,102729
BZZUY,1437774
NFG,70145
BC,14930
MKSI,1049502
NOVT,1076930
DV,1819928
MTZ,15615
KEX,56047
AXS,1214816
IDA,1057877
FLS,30625
COHR,820318
S,1583708
TXG,1770787
FRO,913290
PHI,78150
ITCI,1567514
BOKF,875357
SEDG,1419612
GOL,1291733
THO,730263
CWAN,1866368
IRDM,1418819
CMC,22444
ATKR,1666138
BXSL,1736035
MGY,1698990
VNOM,1602065
PB,1068851
LNTH,1521036
ATI,1018963
PSNY,1884082
MTG,876437
GGAL,1114700
SRC,1308606
PNFP,1115055
DEN,945764
SNDR,1692063
AGNC,1423689
AIRC,1820877
IQ,1722608
FCFS,840489
INSP,1609550
OLLI,1639300
VNT,1786842
SAM,949870
HALO,1159036
PVH,78239
GPS,39911
GBTC,1588489
MMS,1032220
KRG,1286043
PCVX,1649094
LANC,57515
WTFC,1015328
WAL,1212545
ELAN,1739104
SLGN,849869
R,85961
HAE,313143
NGKSY,1442655
BECN,1124941
PECO,1476204
SFM,1575515
BROS,1866581
CLVT,1764046
DOCS,1516513
BFAM,1437578
HLNE,1433642
ESI,1590714
ZION,109380
FLO,1128928
TWNK,1644406
GBTG,1820872
QDEL,1906324
VIAAY,932417
BEPC,1791863
OMF,1584207
ZWS,1439288
CWEN,1567683
SEE,1012100
BPOP,763901
AAON,824142
FRHC,924805
RITM,1556593
TRNO,1476150
TDC,816761
IPGP,1111928
UGI,884614
COLM,1050797
AMG,1004434
ACT,1823529
CWST,911177
PDI,1510599
BRZE,1676238
CPG,1545851
GME,1326380
SUN,1552275
UGP,1094972
FIVN,1288847
TMHC,1562476
EXLS,1297989
EXPO,851520
NEU,1282637
RH,1528849
BTG,1429937
MSSMY,1710864
ASAN,1477720
AVT,8858
MASI,937556
FYBR,20520
VNO,899689
FIZZ,69891
AA,1675149
CIGI,913353
VVV,1674910
IPAR,822663
AEL,1039828
ALKS,1520262
THG,944695
HOG,793952
DNB,1799208
HUN,1307954
NSA,1618563
PYCR,1839439
CERE,1805387
JOBY,1819848
MMYT,1495153
MLI,89439
FOUR,1794669
BBIO,1743881
NVST,1757073
HOMB,1331520
DXC,1688568
MTH,833079
SEB,88121
HP,46765
LCCTF,1495798
HCP,1720671
NJR,356309
MSGS,1636519
SWX,1692115
OZK,1569650
EEFT,1029199
ALK,766421
POWI,833640
HGV,1674168
OGN,1821825
WEN,30697
SQSP,1496963
POR,784977
TKC,1071321
BMI,9092
WOLF,895419
LYFT,1759509
PRGO,1585364
VLY,714310
ENIC,1659939
FELE,38725
CEF,1726122
ONB,707179
BCPC,9326
MXCHY,1435969
EBCOY,354518
RDN,890926
IAC,1800227
MRTX,1576263
NOG,1104485
BIPC,1788348
SUM,1621563
ASH,1674862
AZEK,1782754
COLB,887343
PAGP,1581990
ORA,1296445
LIFW,1802450
STR,1949543
ABG,1144980
ALIT,1809104
SBSW,1786909
CAVA,1639438
AL,1487712
PNM,1108426
ETRN,1747009
ESAB,1877322
PLUG,1093691
MDU,67716
LPX,60519
CADE,1299939
MMSI,856982
ESMT,1863105
JHG,1274173
FNB,37808
BTE,1279495
RYN,52827
SRCL,861878
ACAD,1070494
MLCO,1381640
ESGR,1363829
PSLV,1494728
CBT,16040
ASGN,890564
YETI,1670592
BSM,1621434
LNC,59558
SHC,1822479
FG,1934850
NSP,1000753
SNV,18349
CNX,1070412
TDW,98222
INST,1841804
CRC,1609253
WTM,776867
GATX,40211
BLKB,1280058
CXM,1569345
FOXF,1424929
ERF,1126874
BRFS,1122491
CRUS,772406
USM,821130
ASMVY,1447945
NTCO,1776967
ENS,1289308
EURN,1604481
BCC,1328581
INSM,1104506
MOG-A,67887
SPXC,88205
CC,1627223
OGS,1587732
APLE,1418121
FUL,39368
IHCPF,1508633
COOP,933136
VRNS,1361113
VERX,1806837
DFIHY,871459
VC,1111335
AQN,1174169
LBRT,1694028
OMAB,1378239
EPRT,1728951
FSS,277509
LOPE,1434588
AGO,1273813
AEO,919012
BOX,1372612
ATS,1394832
UBSI,729986
NARI,1531048
GT,42582
GOLF,1672013
SMPL,1702744
BXMT,1061630
FLYW,1580560
KBH,795266
IMGN,855654
ATHM,1527636
MAN,871763
PCH,1338749
SKY,90896
CABO,1632127
AEIS,927003
VRRM,1682745
AWI,7431
FTAI,1590364
FLNC,1868941
SYNA,817720
KRC,1025996
SBRA,1492298
CRK,23194
PWSC,1835681
CEIX,1710366
ACA,1739445
HHH,1981792
CRVL,874866
VAC,1524358
FFIN,36029
DIOD,29002
MATX,3453
DNA,1830214
KOS,1509991
DNP,806628
BTU,1064728
CRSP,1674416
NEOG,711377
AB,825313
KD,1867072
PLTK,1828016
GPI,1031203
KRYS,1711279
GBCI,868671
ASO,1817358
SDRL,1737706
BKH,1130464
JXN,1822993
PEGA,1013857
HTZ,1657853
CPA,1345105
NCNO,1902733
TEX,97216
FOLD,1178879
MAIN,1396440
BL,1666134
ADNT,1670541
NUVL,1861560
GRP-UN,1564538
CD,1807192
RUSHA,1012019
BCO,78890
NNI,1258602
VSH,103730
WHD,1699136
SLAB,1038074
SIG,832988
BBMPY,1553920
LPL,1290109
CCOI,1158324
STEP,1796022
CVI,1376139
AMTD,1769731
M,794367
STNE,1745431
PFSI,1745916
GKOS,1192448
AVAV,1368622
PENN,921738
URBN,912615
EVO,1412558
IBP,1580905
ANF,1018840
DAVA,1656081
CYTK,1061983
AFLYY,1110452
EPR,1045450
CLS,1030894
OLK,1835539
AI,1577526
MP,1801368
TFSL,1381668
LEG,58492
UAA,1336917
GH,1576280
CEPU,1717161
HMY,1023514
SGRY,1638833
GPCR,1888886
UNF,717954
ASAI,1834048
JBT,1433660
IRT,1466085
ESTE,10254
SHWDY,1446694
ALE,66756
HCM,1648257
TDOC,1477449
VIST,1762506
IART,917520
STNG,1483934
PGNY,1551306
AXSM,1579428
AMED,896262
BGC,1094831
APPN,1441683
EVH,1628908
CRS,17843
WOR,108516
PBH,1295947
NWL,814453
HRI,1364479
SEM,1320414
RPD,1560327
AZTA,933974
BHF,1685040
VIRT,1592386
JJSF,785956
UMBF,101382
BDC,913142
SLM,1032033
PDCO,891024
ARLP,1086600
GEF,43920
AMR,1704715
SR,1126956
YELP,1345016
SSRM,921638
GTES,1718512
AVNT,1122976
OTTR,1466593
CEQP,1136352
SID,1049659
CXT,25445
MANU,1549107
SANM,897723
CNMD,816956
MLTX,1821586
NXE,1698535
ZGN,1877787
CVLT,1169561
ROYMY,1592438
NWE,1993004
AAP,1158449
BAK,1071438
KOZAY,1532173
WB,1595761
AWR,1056903
IIJIY,1090633
SGML,1848309
QS,1811414
CORT,1088856
LTH,1869198
LTHM,1742924
PJT,1626115
JOE,745308
WDFC,105132
HWC,750577
WIRE,850460
FRPT,1611647
SHZNY,1454480
KNF,1955520
ZD,1084048
TGNA,39899
MDC,773141
IHICY,1567526
MPW,1287865
BE,1664703
MQ,1522540
ARRY,1820721
AMN,1142750
NEA,1195737
DOC,1574540
BPMC,1597264
BNL,1424182
LCII,763744
CUZ,25232
AUR,1828108
ALRM,1459200
DBC,1328237
FHI,1056288
BUR,1714174
CWT,1035201
SPB,109177
NVMI,1109345
SEAS,1564902
GNW,1276520
EXTR,1078271
HEP,1283140
MC,1596967
MEOH,886977
ARWR,879407
GO,1771515
SHLS,1831651
ARCH,1037676
DNLI,1714899
YOU,1856314
COUR,1651562
GSHD,1726978
GHC,104889
AVAL,1504764
HI,1417398
KMPR,860748
WNS,1356570
BANF,760498
TFPM,1829726
CPE,928022
CSWI,1624794
INDV,1625297
IBOC,315709
PRVA,1759655
AXNX,1603756
SRAD,1836470
UCBI,857855
ABM,771497
KTB,1760965
BHC,885590
DISH,1001082
BMBL,1830043
HGTY,1840776
ERJ,1355444
TSEM,928876
RARE,1515673
LIVN,1639691
TCBI,1077428
ITRI,780571
NWTN,1932737
KWR,81362
RLX,1828365
TRMD,1655891
ICUI,883984
HL,719413
LITE,1633978
SMG,825542
PK,1617406
CNO,1224608
ABR,1253986
FORM,1039399
SHOO,913241
SPT,1517375
MGEE,1161728
KAI,886346
TIGO,912958
BRC,746598
ESE,866706
RNG,1384905
HAYW,1834622
CBZ,944148
VTMX,1969373
SFBS,1430723
DBRG,1679688
FTRE,1965040
CURLF,1756770
AIN,819793
CNS,1284812
MDGL,1157601
ENOV,1420800
LAZ,1311370
GLNG,1207179
ZLAB,1704292
OII,73756
ATAT,1853717
USAC,1522727
INTA,1565687
TPH,1561680
DY,67215
RRR,1653653
HCC,1691303
NPO,1164863
YY,1530238
TNL,1361658
IRTC,1388658
PAGS,1712807
FTDR,1727263
QFIN,1741530
VSAT,797721
PLXS,785786
CRI,1060822
ABCB,351569
HELE,916789
SKT,899715
KSS,885639
